cluster_id,thematic_label,manual_domain,louvain_community,cluster_size,degree,avg_neighbor_cosine
0,DRS-assisted battles,Race dynamics,0,205,7,0.5321401527949742
1,Time penalties,Regulatory,2,118,21,0.5653575289817083
2,Lights-out race starts,Race dynamics,2,54,4,0.5256382822990417
3,Mirror checks defending,Race dynamics,0,47,21,0.5659263190769014
4,Race start launch,Race dynamics,0,42,20,0.5587966531515122
5,Weather conditions,Strategy & technical,1,43,3,0.5286492705345154
6,Grand Prix wins,Narrative & meta,1,465,15,0.629544444878896
7,Race start lights,Race dynamics,1,36,6,0.5823779106140137
8,Race control flags,Regulatory,1,118,19,0.5580830009360063
9,Formula 1 milestones,Narrative & meta,1,134,12,0.6041942884524664
10,Chicane moves,Race dynamics,0,62,24,0.571020799378554
11,Team radio celebrations,Narrative & meta,3,55,0,0.0
12,Podium finishes,Narrative & meta,1,139,22,0.5961158031767065
13,Championship & title,Narrative & meta,1,158,12,0.6042830348014832
14,Pit stops,Strategy & technical,0,185,27,0.612713529003991
15,Tires & compounds,Strategy & technical,1,379,15,0.5910585999488831
16,Safety car deployment,Regulatory,1,122,17,0.5874362307436326
17,Gap & pace,Strategy & technical,0,67,19,0.5629659389194689
18,Team dynamics,Narrative & meta,0,600,25,0.6474930953979492
19,Race lead holding,Race dynamics,0,115,20,0.6295255064964295
20,Wing & car damage,Strategy & technical,2,61,15,0.5420836051305135
21,Braking & lockups,Race dynamics,2,128,24,0.6087099586923918
22,Wheel-to-wheel,Race dynamics,0,71,23,0.6281061716701674
23,Circuit action,Race dynamics,1,72,27,0.6121758686171638
24,Inter-car distance,Strategy & technical,2,60,28,0.6230223029851913
25,Driver & team references,Narrative & meta,1,69,30,0.62042342821757
26,Defending & attacking,Race dynamics,0,110,20,0.6087958812713623
27,Overtake battles,Race dynamics,0,762,23,0.6374651167703711
28,Corner battles,Race dynamics,0,82,24,0.6125865032275518
29,Corner specific moves,Race dynamics,0,60,20,0.5574356198310852
30,Lap pace & timing,Strategy & technical,1,136,29,0.5907433361842714
31,Race leader changes,Race dynamics,1,162,27,0.6241143014695909
32,Front position changes,Race dynamics,0,45,23,0.6361199487810549
33,Field position changes,Race dynamics,0,122,22,0.6156556660478766
