cluster_id,thematic_label,manual_domain,minilm_ward_K4,e5_ward_K4,minilm_louvain,e5_louvain
0,DRS-assisted battles,Race dynamics,4,1,0,0
1,Time penalties,Regulatory,3,1,1,1
2,Lights-out race starts,Race dynamics,2,3,2,2
3,Mirror checks defending,Race dynamics,3,1,0,3
4,Race start launch,Race dynamics,4,2,0,4
5,Weather conditions,Strategy & technical,2,1,2,5
6,Grand Prix wins,Narrative & meta,1,4,1,6
7,Race start lights,Race dynamics,1,3,1,7
8,Race control flags,Regulatory,3,1,1,8
9,Formula 1 milestones,Narrative & meta,1,4,1,9
10,Chicane moves,Race dynamics,3,1,0,10
11,Team radio celebrations,Narrative & meta,2,4,3,11
12,Podium finishes,Narrative & meta,1,4,1,12
13,Championship & title,Narrative & meta,1,4,1,13
14,Pit stops,Strategy & technical,3,1,0,14
15,Tires & compounds,Strategy & technical,3,1,2,15
16,Safety car deployment,Regulatory,3,1,2,16
17,Gap & pace,Strategy & technical,3,1,0,17
18,Team dynamics,Narrative & meta,4,2,0,18
19,Race lead holding,Race dynamics,4,2,0,19
20,Wing & car damage,Strategy & technical,4,2,2,20
21,Braking & lockups,Race dynamics,3,1,2,21
22,Wheel-to-wheel,Race dynamics,3,1,0,22
23,Circuit action,Race dynamics,3,1,1,23
24,Inter-car distance,Strategy & technical,3,1,2,24
25,Driver & team references,Narrative & meta,3,1,1,25
26,Defending & attacking,Race dynamics,4,2,0,26
27,Overtake battles,Race dynamics,4,2,0,27
28,Corner battles,Race dynamics,4,1,0,28
29,Corner specific moves,Race dynamics,4,1,0,29
30,Lap pace & timing,Strategy & technical,3,1,1,30
31,Race leader changes,Race dynamics,3,1,1,31
32,Front position changes,Race dynamics,4,2,0,32
33,Field position changes,Race dynamics,4,2,0,33
