cluster_id,thematic_label,domain,bertopic_geo_K4,bertopic_ctfidf_K4
0,DRS-assisted battles,Race dynamics,1,0
1,Time penalties,Regulatory,4,0
2,Lights-out race starts,Race dynamics,3,2
3,Mirror checks defending,Race dynamics,4,0
4,Race start launch,Race dynamics,1,0
5,Weather conditions,Strategy & technical,4,2
6,Grand Prix wins,Narrative & meta,2,0
7,Race start lights,Race dynamics,2,1
8,Race control flags,Regulatory,2,1
9,Formula 1 milestones,Narrative & meta,2,0
10,Chicane moves,Race dynamics,4,0
11,Team radio celebrations,Narrative & meta,2,3
12,Podium finishes,Narrative & meta,2,0
13,Championship & title,Narrative & meta,2,0
14,Pit stops,Strategy & technical,4,0
15,Tires & compounds,Strategy & technical,4,0
16,Safety car deployment,Regulatory,4,0
17,Gap & pace,Strategy & technical,4,0
18,Team dynamics,Narrative & meta,1,0
19,Race lead holding,Race dynamics,1,0
20,Wing & car damage,Strategy & technical,1,0
21,Braking & lockups,Race dynamics,4,0
22,Wheel-to-wheel,Race dynamics,4,0
23,Circuit action,Race dynamics,4,0
24,Inter-car distance,Strategy & technical,4,0
25,Driver & team references,Narrative & meta,4,0
26,Defending & attacking,Race dynamics,1,0
27,Overtake battles,Race dynamics,1,0
28,Corner battles,Race dynamics,1,0
29,Corner specific moves,Race dynamics,1,0
30,Lap pace & timing,Strategy & technical,4,0
31,Race leader changes,Race dynamics,4,0
32,Front position changes,Race dynamics,1,0
33,Field position changes,Race dynamics,1,0
